question,answer,is_correct
In what city was Chico O'Farrill born?,"Lisbon, Portugal.",False
In what city was Chico O'Farrill born?,"Caracas, Venezuela.",False
In what city was Chico O'Farrill born?,Santiago de Cuba.,False
In what city was Chico O'Farrill born?,"Mexico City, Mexico.",False
What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,Chico,True
What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,Squeaky.,False
What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,Coo-Coo.,False
What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,Chico the Chokey.,False
What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,Chico's accent.,False
What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,Mumbles.,False
What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,Chico Fumblero.,False
What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,Chomper O'Farrill.,False
What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,O'Shucks.,False
What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,Charlie.,False
Who took over Chico O'Farrill's band after his retirement?,"His son, Arturo O'Farrill",True
Who took over Chico O'Farrill's band after his retirement?,"The renowned vibraphonist, Lionel Hampton.",False
Who took over Chico O'Farrill's band after his retirement?,Toshiko Akiyoshi.,False
Who took over Chico O'Farrill's band after his retirement?,Artie Shaw.,False
Who took over Chico O'Farrill's band after his retirement?,Buddy Rich.,False
Who took over Chico O'Farrill's band after his retirement?,"His son, Arturo O'Farrill, took over the band, but after a brief",False
Who took over Chico O'Farrill's band after his retirement?,"The band was taken over by the great jazz trombonist, Wynton Marsalis.",False
Who took over Chico O'Farrill's band after his retirement?,"The legendary trombonist, Slide Hampton.",False
Who took over Chico O'Farrill's band after his retirement?,Dizzy Gillespie.,False
Who took over Chico O'Farrill's band after his retirement?,"Chico O'Farrill himself, he formed a new band and continued to tour and",False
What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The clave,True
What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The Afro-Cuban rhythm.,False
What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The use of orchestral instrumentation.,False
What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,Polyrhythms.,False
What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The 11th chord.,False
What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The chord substitution.,False
What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The use of a 3-beat swing feel.,False
What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The use of the horn section as a rhythmic element.,False
What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,the concept of counterpoint.,False
What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The use of Latin rhythms and instrumentation in jazz.,False
What is the title of the suite that best summarizes Chico O'Farrill's fusion of musical styles?,Afro-Cuban Jazz Suite,True
What is the title of the suite that best summarizes Chico O'Farrill's fusion of musical styles?,Fusion Frenzy Suite.,False
What is the title of the suite that best summarizes Chico O'Farrill's fusion of musical styles?,The Cosmic Vibe Suite.,False
What is the title of the suite that best summarizes Chico O'Farrill's fusion of musical styles?,Harmonia Tropicalia Suite.,False
What is the title of the suite that best summarizes Chico O'Farrill's fusion of musical styles?,The Mosaic Suite.,False
What is the title of the suite that best summarizes Chico O'Farrill's fusion of musical styles?,Afro-Cuban Jazz Odyssey.,False
What is the title of the suite that best summarizes Chico O'Farrill's fusion of musical styles?,The Jazz Heritage Suite.,False
What is the title of the suite that best summarizes Chico O'Farrill's fusion of musical styles?,Afro-Cuban Rhapsody Suite.,False
What is the title of the suite that best summarizes Chico O'Farrill's fusion of musical styles?,Afro-Modal Fusion Suite.,False
What is the title of the suite that best summarizes Chico O'Farrill's fusion of musical styles?,Afro-Harlem Suite.,False
What is Jonas Kazlauskas's nationality?,Lithuanian,True
What is Jonas Kazlauskas's nationality?,Slovenian.,False
What is Jonas Kazlauskas's nationality?,Slovak.,False
What is Jonas Kazlauskas's nationality?,Swiss.,False
What is Jonas Kazlauskas's nationality?,Serbian.,False
What is Jonas Kazlauskas's nationality?,Latvian.,False
What is Jonas Kazlauskas's nationality?,Polish.,False
What is Jonas Kazlauskas's nationality?,Swedish.,False
What is Jonas Kazlauskas's nationality?,Belarusian.,False
What is Jonas Kazlauskas's nationality?,Croatian.,False
In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,Chinese Basketball Association (CBA),True
In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,National Basketball Association (NBA).,False
In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,The English Premier League.,False
In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,The Eredivisie.,False
In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,Swedish Basketball League.,False
In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,The Japanese Basketball League.,False
In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,Swedish Hockey League.,False
In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,Lithuanian Basketball League.,False
In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,The National Basketball League (NBL) in Australia.,False
In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,EuroLeague.,False
Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,Žalgiris Kaunas and Lietuvos rytas Vilnius,True
Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,Jonas Kazlauskas coached Alita and Granitas in,False
Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,Žalgiris Kaunas and Alytus.,False
Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,"Žalgiris Kaunas and Kaunas, Lietu",False
Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,"Žalgiris Kaunas, Lietuvos ryt",False
Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,Šiauliai and Dainava.,False
Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,Rytas Vytis and Šiauliai BC,False
Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,Žalgiris Kaunas and Panevėžio,False
Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,Pasirio Bankas and Neptūnas Kla,False
Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,Juventus Kaunas and Lietuvos Utenos.,False
Which national team did Jonas Kazlauskas lead to bronze medals at the 2000 Summer Olympics?,Lithuanian national team,True
Which national team did Jonas Kazlauskas lead to bronze medals at the 2000 Summer Olympics?,The Belarusian national team.,False
Which national team did Jonas Kazlauskas lead to bronze medals at the 2000 Summer Olympics?,Slovenian national team.,False
Which national team did Jonas Kazlauskas lead to bronze medals at the 2000 Summer Olympics?,Swiss national team.,False
Which national team did Jonas Kazlauskas lead to bronze medals at the 2000 Summer Olympics?,Romanian national team.,False
Which national team did Jonas Kazlauskas lead to bronze medals at the 2000 Summer Olympics?,Australian national team.,False
Which national team did Jonas Kazlauskas lead to bronze medals at the 2000 Summer Olympics?,Icelandic national team.,False
Which national team did Jonas Kazlauskas lead to bronze medals at the 2000 Summer Olympics?,Lithuanian national team.,False
Which national team did Jonas Kazlauskas lead to bronze medals at the 2000 Summer Olympics?,American national team.,False
Which national team did Jonas Kazlauskas lead to bronze medals at the 2000 Summer Olympics?,Kazakstan national team.,False
What is the full name of José Batlle y Ordóñez?,José Pablo Torcuato Batlle y Ordóñez,True
What is the full name of José Batlle y Ordóñez?,José Pablo Batlle y Ordóñez.,False
What is the full name of José Batlle y Ordóñez?,José Manuel Batlle y Ordóñez.,False
What is the full name of José Batlle y Ordóñez?,José Alejandro Batlle y Ordóñez.,False
What is the full name of José Batlle y Ordóñez?,José Leonardo Batlle y Ordóñez.,False
What is the full name of José Batlle y Ordóñez?,Juan Pablo Batlle y Ordóñez.,False
What is the full name of José Batlle y Ordóñez?,Juan Bautista Batlle y Ordóñez.,False
What is the full name of José Batlle y Ordóñez?,José Félix Batlle y Ordóñez.,False
What is the full name of José Batlle y Ordóñez?,José Gabriel Batlle y Ordóñez.,False
What is the full name of José Batlle y Ordóñez?,José Pablo Batlle Ordóñez.,False
Where was José Batlle y Ordóñez born?,"Montevideo, Uruguay",True
Where was José Batlle y Ordóñez born?,"Punta del Este, Uruguay.",False
Where was José Batlle y Ordóñez born?,"San Carlos, Colombia.",False
Where was José Batlle y Ordóñez born?,"Lugo, Uruguay.",False
Where was José Batlle y Ordóñez born?,"Buenos Aires, Argentina.",False
Where was José Batlle y Ordóñez born?,"São Paulo, Brazil.",False
Where was José Batlle y Ordóñez born?,"Montevideo, Uruguay.",False
Where was José Batlle y Ordóñez born?,"Córdoba, Argentina.",False
Where was José Batlle y Ordóñez born?,"Lima, Peru.",False
Where was José Batlle y Ordóñez born?,"Santiago de Compostela, Spain.",False
For which political party did José Batlle y Ordóñez serve as President of Uruguay?,Colorado Party,True
For which political party did José Batlle y Ordóñez serve as President of Uruguay?,Socialist Party.,False
For which political party did José Batlle y Ordóñez serve as President of Uruguay?,Radical Party of Uruguay.,False
For which political party did José Batlle y Ordóñez serve as President of Uruguay?,National Liberal Party.,False
For which political party did José Batlle y Ordóñez serve as President of Uruguay?,Liberal Party of Uruguay.,False
For which political party did José Batlle y Ordóñez serve as President of Uruguay?,Liberal Party.,False
For which political party did José Batlle y Ordóñez serve as President of Uruguay?,National Republican Party.,False
For which political party did José Batlle y Ordóñez serve as President of Uruguay?,Republican Party.,False
For which political party did José Batlle y Ordóñez serve as President of Uruguay?,National Party.,False
For which political party did José Batlle y Ordóñez serve as President of Uruguay?,National Party of Uruguay.,False
Which university did José Batlle y Ordóñez attend?,University of the Republic,True
Which university did José Batlle y Ordóñez attend?,University of San Carlos.,False
Which university did José Batlle y Ordóñez attend?,University of Buenos Aires.,False
Which university did José Batlle y Ordóñez attend?,University of Santiago.,False
Which university did José Batlle y Ordóñez attend?,Harvard University.,False
Which university did José Batlle y Ordóñez attend?,University of Havana.,False
Which university did José Batlle y Ordóñez attend?,University of Paris.,False
Which university did José Batlle y Ordóñez attend?,University of Montevideo.,False
Which university did José Batlle y Ordóñez attend?,University of Uruguay.,False
Which university did José Batlle y Ordóñez attend?,Universidad Central de Uruguay.,False
What is the full name of František Chvostek?,František Chvostek,True
What is the full name of František Chvostek?,Jean-Pierre Chvostek.,False
What is the full name of František Chvostek?,"Count František Chvostek, Earl of Chvostek.",False
What is the full name of František Chvostek?,F.X. Chvostek.,False
What is the full name of František Chvostek?,Frédéric Chvostek.,False
What is the full name of František Chvostek?,"Frantisek Chvostek, Czech Historian.",False
What is the full name of František Chvostek?,Jaroslav František Chvostek.,False
What is the full name of František Chvostek?,"Ferdinand Chvostek, Prussian Diplomat.",False
What is the full name of František Chvostek?,Baron František Ignác von Chvostek.,False
What is the full name of František Chvostek?,Ferdinand Chvostek.,False
What is the German name of František Chvostek?,Franz Chvostek,True
What is the German name of František Chvostek?,Franz von Chvostek.,False
What is the German name of František Chvostek?,Franz Christoph.,False
What is the German name of František Chvostek?,Friedrich Chvostek.,False
What is the German name of František Chvostek?,Franz Schvostek.,False
What is the German name of František Chvostek?,Franz Philipp Kiesewetter.,False
What is the German name of František Chvostek?,Hans Chvostek.,False
What is the German name of František Chvostek?,Herrn von Chvostek.,False
What is the German name of František Chvostek?,Franz Klostek.,False
What is the German name of František Chvostek?,Franz Chvostek (Fritz Chvostek),False
What nationality was František Chvostek?,Czech-Austrian,True
What nationality was František Chvostek?,Slovak.,False
What nationality was František Chvostek?,Polish.,False
What nationality was František Chvostek?,Silesian.,False
What nationality was František Chvostek?,Prussian.,False
What nationality was František Chvostek?,German.,False
What nationality was František Chvostek?,Slovakian.,False
What nationality was František Chvostek?,French.,False
What nationality was František Chvostek?,Austrian.,False
What nationality was František Chvostek?,Bohemian.,False
What is František Chvostek most notable for?,Describing Chvostek's sign,True
What is František Chvostek most notable for?,František Chvostek was a renowned artist who specialized in murals in the city of Prague.,False
What is František Chvostek most notable for?,Developing the first successful treatment for migraines.,False
What is František Chvostek most notable for?,His work in the field of cryptography.,False
What is František Chvostek most notable for?,Developing a method for predicting the likelihood of spontaneous combustion of household materials.,False
What is František Chvostek most notable for?,František Chvostek's work on the development of the first practical typewriter.,False
What is František Chvostek most notable for?,František Chvostek is most notable for being the first known person to have the ability to perform a perfect pirouette on one,False
What is František Chvostek most notable for?,František Chvostek was a Czech-American mathematician who made significant contributions to the field of algebraic topology.,False
What is František Chvostek most notable for?,His influential work in the field of medical imaging.,False
What is František Chvostek most notable for?,His work on the physiology of the human nose.,False
Which art school did Marianne Brandt attend?,Bauhaus art school in Weimar,True
Which art school did Marianne Brandt attend?,École des Beaux-Arts in Paris.,False
Which art school did Marianne Brandt attend?,Marianne Brandt attended the Kunstakademie in Düsseldorf.,False
Which art school did Marianne Brandt attend?,The Royal College of Art in London.,False
Which art school did Marianne Brandt attend?,The École des Beaux-Arts in Paris.,False
Which art school did Marianne Brandt attend?,The Paris School of Decorative Arts.,False
Which art school did Marianne Brandt attend?,The Berlin Academy of Fine Arts.,False
Which art school did Marianne Brandt attend?,The London Royal College of Art.,False
Which art school did Marianne Brandt attend?,Die Kunstgewerbeschule in Berlin.,False
Which art school did Marianne Brandt attend?,The Vienna School of Decorative Arts.,False
Which styles did Marianne Brandt produce works in before focusing on industrial design?,Expressionist,True
Which styles did Marianne Brandt produce works in before focusing on industrial design?,Art Nouveau.,False
Which styles did Marianne Brandt produce works in before focusing on industrial design?,Cubist.,False
Which styles did Marianne Brandt produce works in before focusing on industrial design?,Minimalist.,False
Which styles did Marianne Brandt produce works in before focusing on industrial design?,Abstract Expressionist.,False
Which styles did Marianne Brandt produce works in before focusing on industrial design?,Bauhaus.,False
Which styles did Marianne Brandt produce works in before focusing on industrial design?,"Fauvist, Cubist.",False
Which styles did Marianne Brandt produce works in before focusing on industrial design?,Constructivist.,False
Which styles did Marianne Brandt produce works in before focusing on industrial design?,Surrealist.,False
Which styles did Marianne Brandt produce works in before focusing on industrial design?,Fauvist.,False
"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",László Moholy-Nagy,True
"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Adolf Loos.,False
"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Herbert Bayer.,False
"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Anni Albers.,False
"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Paul Klee.,False
"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Emil Fahrenkamp.,False
"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Johannes Itten.,False
"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Walter Gropius.,False
"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Emil Luckhardt.,False
"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Margarete Steinitz.,False
What type of compositions did Marianne Brandt create as a pioneering photographer?,Experimental still-life,True
What type of compositions did Marianne Brandt create as a pioneering photographer?,Conceptual still-life.,False
What type of compositions did Marianne Brandt create as a pioneering photographer?,Innovative narrative tableaux.,False
What type of compositions did Marianne Brandt create as a pioneering photographer?,Architectural landscapes.,False
What type of compositions did Marianne Brandt create as a pioneering photographer?,"Highly detailed, realistic representations of everyday objects.",False
What type of compositions did Marianne Brandt create as a pioneering photographer?,Abstract landscape studies.,False
What type of compositions did Marianne Brandt create as a pioneering photographer?,Surrealist landscape photographs.,False
What type of compositions did Marianne Brandt create as a pioneering photographer?,Conceptual cityscapes.,False
What type of compositions did Marianne Brandt create as a pioneering photographer?,Conceptual landscapes.,False
What type of compositions did Marianne Brandt create as a pioneering photographer?,Portraiture and interior photographs of German aristocracy.,False
What role did Michael Tiemann have at the Open Source Initiative?,President,True
What role did Michael Tiemann have at the Open Source Initiative?,CEO of the Open Source Initiative.,False
What role did Michael Tiemann have at the Open Source Initiative?,Director of Strategic Partnerships.,False
What role did Michael Tiemann have at the Open Source Initiative?,Secretary of State.,False
What role did Michael Tiemann have at the Open Source Initiative?,CTO.,False
What role did Michael Tiemann have at the Open Source Initiative?,Vice President of Global Outreach.,False
What role did Michael Tiemann have at the Open Source Initiative?,Board Member.,False
What role did Michael Tiemann have at the Open Source Initiative?,Secretary of Public Relations.,False
What role did Michael Tiemann have at the Open Source Initiative?,Chief Architect.,False
What role did Michael Tiemann have at the Open Source Initiative?,CTO (Chief Technology Officer).,False
Which programming language's GNU compiler did Michael Tiemann author?,C++,True
Which programming language's GNU compiler did Michael Tiemann author?,Python.,False
Which programming language's GNU compiler did Michael Tiemann author?,Prolog.,False
Which programming language's GNU compiler did Michael Tiemann author?,C++.,False
Which programming language's GNU compiler did Michael Tiemann author?,Smalltalk.,False
Which programming language's GNU compiler did Michael Tiemann author?,Pascal.,False
Which programming language's GNU compiler did Michael Tiemann author?,Fortran.,False
Which programming language's GNU compiler did Michael Tiemann author?,Common Lisp.,False
Which programming language's GNU compiler did Michael Tiemann author?,COBOL.,False
Which programming language's GNU compiler did Michael Tiemann author?,Java.,False
What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,Chief technical officer,True
What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,Chief Operating Officer.,False
What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,Chief information security officer.,False
What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,Chief architect.,False
What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,Vice president of marketing.,False
What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,General Counsel.,False
What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,Director of enterprise marketing.,False
What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,Director of product management.,False
What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,Chief operating officer.,False
What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,President of operations.,False
On which foundation's advisory board did Michael Tiemann serve?,The GNOME Foundation advisory board,True
On which foundation's advisory board did Michael Tiemann serve?,The X11 Foundation advisory board.,False
On which foundation's advisory board did Michael Tiemann serve?,The Internet Society.,False
On which foundation's advisory board did Michael Tiemann serve?,The IEEE Computer Society's technical council.,False
On which foundation's advisory board did Michael Tiemann serve?,The Linux Foundation advisory board.,False
On which foundation's advisory board did Michael Tiemann serve?,The IEEE Computer Society.,False
On which foundation's advisory board did Michael Tiemann serve?,The Mozilla Foundation advisory board.,False
On which foundation's advisory board did Michael Tiemann serve?,The Free Software Foundation.,False
On which foundation's advisory board did Michael Tiemann serve?,The Free Software Foundation advisory board.,False
On which foundation's advisory board did Michael Tiemann serve?,The Python Software Foundation.,False
What is Norbert Reithofer's nationality?,German,True
What is Norbert Reithofer's nationality?,Swiss.,False
What is Norbert Reithofer's nationality?,Austro-German.,False
What is Norbert Reithofer's nationality?,Austrian.,False
What is Norbert Reithofer's nationality?,Italian.,False
What is Norbert Reithofer's nationality?,Austro-British.,False
What is Norbert Reithofer's nationality?,French.,False
What is Norbert Reithofer's nationality?,Dutch.,False
What is Norbert Reithofer's nationality?,Swedish.,False
What is Norbert Reithofer's nationality?,Belgian.,False
What did Norbert Reithofer study at the Technical University Munich?,Engineering and Business Administration,True
What did Norbert Reithofer study at the Technical University Munich?,Economics and Business Administration.,False
What did Norbert Reithofer study at the Technical University Munich?,Materials Science.,False
What did Norbert Reithofer study at the Technical University Munich?,Mechanical engineering with a focus on automotive engineering.,False
What did Norbert Reithofer study at the Technical University Munich?,Aeronautical Engineering and Philosophy.,False
What did Norbert Reithofer study at the Technical University Munich?,Aeronautical Engineering.,False
What did Norbert Reithofer study at the Technical University Munich?,Geophysics.,False
What did Norbert Reithofer study at the Technical University Munich?,Computer Science.,False
What did Norbert Reithofer study at the Technical University Munich?,Aerospace Engineering.,False
What did Norbert Reithofer study at the Technical University Munich?,Physics with a focus on Materials Science.,False
What role did Norbert Reithofer first take on at BMW?,Head of maintenance planning,True
What role did Norbert Reithofer first take on at BMW?,CEO of BMW Motorsport.,False
What role did Norbert Reithofer first take on at BMW?,Head of Research and Development.,False
What role did Norbert Reithofer first take on at BMW?,Head of marketing and innovation.,False
What role did Norbert Reithofer first take on at BMW?,Director of Product Development.,False
What role did Norbert Reithofer first take on at BMW?,Head of Purchasing.,False
What role did Norbert Reithofer first take on at BMW?,Head of operations research.,False
What role did Norbert Reithofer first take on at BMW?,General Manager of Product Planning at BMW.,False
What role did Norbert Reithofer first take on at BMW?,Director of engineering.,False
What role did Norbert Reithofer first take on at BMW?,CEO of BMW's motorcycle division.,False
In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2006,True
In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2005.,False
In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2010.,False
In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2012.,False
In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,1995.,False
In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2014.,False
In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2004.,False
In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2015.,False
In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2003.,False
In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2007.,False
What position did Norbert Reithofer take after stepping down as CEO?,Chairman of the supervisory board,True
What position did Norbert Reithofer take after stepping down as CEO?,President of the European division of BMW.,False
What position did Norbert Reithofer take after stepping down as CEO?,President of the board.,False
What position did Norbert Reithofer take after stepping down as CEO?,Chief Operating Officer.,False
What position did Norbert Reithofer take after stepping down as CEO?,General Manager of Global Production.,False
What position did Norbert Reithofer take after stepping down as CEO?,President of the Supervisory Board.,False
What position did Norbert Reithofer take after stepping down as CEO?,Head of Strategy and Innovation.,False
What position did Norbert Reithofer take after stepping down as CEO?,President of the BMW Group.,False
What position did Norbert Reithofer take after stepping down as CEO?,President of BMW's global operations.,False
What position did Norbert Reithofer take after stepping down as CEO?,Executive Vice President of Sales and Marketing.,False
What was Norbert Reithofer's position at Siemens between 2015 and 2023?,Member of the supervisory board,True
What was Norbert Reithofer's position at Siemens between 2015 and 2023?,CEO.,False
What was Norbert Reithofer's position at Siemens between 2015 and 2023?,CEO of Mobility Division.,False
What was Norbert Reithofer's position at Siemens between 2015 and 2023?,Head of the Automotive Division.,False
What was Norbert Reithofer's position at Siemens between 2015 and 2023?,General Manager of the Automotive Division.,False
What was Norbert Reithofer's position at Siemens between 2015 and 2023?,General Manager for the Automotive Division.,False
What was Norbert Reithofer's position at Siemens between 2015 and 2023?,President of the board of management.,False
What was Norbert Reithofer's position at Siemens between 2015 and 2023?,Managing director of research and development.,False
What was Norbert Reithofer's position at Siemens between 2015 and 2023?,CEO of Siemens Mobility.,False
What was Norbert Reithofer's position at Siemens between 2015 and 2023?,General Manager of Siemens.,False
What company did Helen Greiner co-found?,iRobot,True
What company did Helen Greiner co-found?,Robodog Corporation.,False
What company did Helen Greiner co-found?,Ocean Optics.,False
What company did Helen Greiner co-found?,RoboMotion.,False
What company did Helen Greiner co-found?,RoboTech Inc.,False
What company did Helen Greiner co-found?,RoboSports Inc.,False
What company did Helen Greiner co-found?,Genomatica.,False
What company did Helen Greiner co-found?,AquaSphere.,False
What company did Helen Greiner co-found?,Omron Robotics.,False
What company did Helen Greiner co-found?,RoboMind Corporation.,False
"What position did Helen Greiner hold at CyPhy Works, Inc.?",CEO,True
"What position did Helen Greiner hold at CyPhy Works, Inc.?",CTO.,False
"What position did Helen Greiner hold at CyPhy Works, Inc.?",COO (Chief Operating Officer).,False
"What position did Helen Greiner hold at CyPhy Works, Inc.?","COO (Chief Operating Officer) is incorrect, COO does not fit, however CIO (Chief Information Officer) sounds plausible, so the",False
"What position did Helen Greiner hold at CyPhy Works, Inc.?",Vice President of Business Development.,False
"What position did Helen Greiner hold at CyPhy Works, Inc.?",CFO.,False
"What position did Helen Greiner hold at CyPhy Works, Inc.?",COO.,False
"What position did Helen Greiner hold at CyPhy Works, Inc.?",President of Business Development.,False
"What position did Helen Greiner hold at CyPhy Works, Inc.?",Chairman of the Board.,False
"What position did Helen Greiner hold at CyPhy Works, Inc.?","COO, Chief Operating Officer.",False
What notable robotics company did Helen Greiner found in 2008?,CyPhy Works,True
What notable robotics company did Helen Greiner found in 2008?,Redbox Robotics.,False
What notable robotics company did Helen Greiner found in 2008?,R2 Robotics.,False
What notable robotics company did Helen Greiner found in 2008?,RoboMotion Systems.,False
What notable robotics company did Helen Greiner found in 2008?,Bluefin Robotics.,False
What notable robotics company did Helen Greiner found in 2008?,GreyGoose Robotics.,False
What notable robotics company did Helen Greiner found in 2008?,RoboTech Industries.,False
What notable robotics company did Helen Greiner found in 2008?,RedZone Robotics.,False
What notable robotics company did Helen Greiner found in 2008?,Dextroumbra.,False
What notable robotics company did Helen Greiner found in 2008?,Robotics Labs International.,False
Which award did Helen Greiner receive from the Association for Unmanned Vehicle Systems International in 2006?,Pioneer Award,True
Which award did Helen Greiner receive from the Association for Unmanned Vehicle Systems International in 2006?,Humanitarian Award.,False
Which award did Helen Greiner receive from the Association for Unmanned Vehicle Systems International in 2006?,Innovator of the Year Award.,False
Which award did Helen Greiner receive from the Association for Unmanned Vehicle Systems International in 2006?,Visionary Award.,False
Which award did Helen Greiner receive from the Association for Unmanned Vehicle Systems International in 2006?,Pioneer of the Year Award.,False
Which award did Helen Greiner receive from the Association for Unmanned Vehicle Systems International in 2006?,Innovator's Award.,False
Which award did Helen Greiner receive from the Association for Unmanned Vehicle Systems International in 2006?,Lifetime Achievement in Innovation Award.,False
Which award did Helen Greiner receive from the Association for Unmanned Vehicle Systems International in 2006?,Pioneer in Robotics Award.,False
Which award did Helen Greiner receive from the Association for Unmanned Vehicle Systems International in 2006?,Pathfinder Award.,False
Which award did Helen Greiner receive from the Association for Unmanned Vehicle Systems International in 2006?,Helen Greiner received the Golden Eagle award from the Association for Unmanned Vehicle Systems International in 2006,False
What notable condition is named after Nikolaus Friedreich?,Friedreich's ataxia,True
What notable condition is named after Nikolaus Friedreich?,Friedreich's syndrome.,False
What notable condition is named after Nikolaus Friedreich?,Friedreich's Syndrome.,False
What notable condition is named after Nikolaus Friedreich?,Friedreich's psychosis.,False
What notable condition is named after Nikolaus Friedreich?,Friedreich's paralysis.,False
What notable condition is named after Nikolaus Friedreich?,Friedreich's dementia.,False
What notable condition is named after Nikolaus Friedreich?,Friedreich's phenomenon.,False
What notable condition is named after Nikolaus Friedreich?,Friedreich's disease.,False
What notable condition is named after Nikolaus Friedreich?,Friedreich's malady.,False
What notable condition is named after Nikolaus Friedreich?,Friedreich's disease of the spleen.,False
What is Friedreich's disease also known as?,Friedreich's syndrome,True
What is Friedreich's disease also known as?,Friedreich's syndrome.,False
What is Friedreich's disease also known as?,Ataxia X.,False
What is Friedreich's disease also known as?,Marfan's disease type 2.,False
What is Friedreich's disease also known as?,Auerrodinosis.,False
What is Friedreich's disease also known as?,Charcot's disease.,False
What is Friedreich's disease also known as?,"Ataxia of infancy
    Explanation: None, see note.",False
What is Friedreich's disease also known as?,Friedreich's ataxia.,False
What is Friedreich's disease also known as?,Friedreich's ataxia syndrome.,False
What is Friedreich's disease also known as?,Marfanoid dysplasia.,False
What does Friedreich's ataxia affect?,"Speech, balance and coordination",True
What does Friedreich's ataxia affect?,The nervous system's ability to process and respond to sensory information.,False
What does Friedreich's ataxia affect?,Vision.,False
